"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","飛田給三丁目","","49","9","-38138.6","-28607.3","35.655823","139.517387","0","1","0","0"
"東京都","調布市","飛田給三丁目","","15","9","-38050.2","-28547.3","35.656622","139.518047","0","1","0","0"
"東京都","調布市","飛田給三丁目","","16","9","-38050.2","-28547.3","35.656622","139.518047","0","1","0","0"
"東京都","調布市","飛田給三丁目","","17","9","-38080.6","-28544.0","35.656348","139.518085","1","1","0","0"
"東京都","調布市","飛田給三丁目","","42","9","-38214.7","-28415.5","35.655143","139.519509","1","1","0","0"
"東京都","調布市","飛田給三丁目","","18","9","-38080.5","-28475.8","35.656351","139.518838","1","1","0","0"
"東京都","調布市","飛田給三丁目","","15","9","-38063.6","-28471.1","35.656503","139.518890","0","0","0","0"
"東京都","調布市","飛田給三丁目","","18","9","-38107.3","-28471.8","35.656110","139.518883","1","0","0","0"
"東京都","調布市","飛田給三丁目","","1","9","-37807.7","-28442.4","35.658811","139.519197","1","1","0","0"
"東京都","調布市","飛田給三丁目","","20","9","-38133.2","-28411.9","35.655877","139.519545","1","1","0","0"
"東京都","調布市","飛田給二丁目","","8","9","-37781.0","-28363.2","35.659054","139.520071","1","1","0","0"
"東京都","調布市","飛田給三丁目","","20","9","-38114.1","-28369.9","35.656051","139.520009","1","0","0","0"
"東京都","調布市","飛田給二丁目","","3","9","-37657.8","-28330.7","35.660165","139.520425","1","1","0","0"
"東京都","調布市","飛田給三丁目","","20","9","-38099.8","-28337.5","35.656181","139.520366","1","0","0","0"
"東京都","調布市","飛田給二丁目","","3","9","-37675.8","-28276.9","35.660004","139.521020","1","0","0","0"
"東京都","調布市","飛田給三丁目","","48","9","-38482.9","-28320.9","35.652728","139.520562","1","1","0","0"
"東京都","調布市","飛田給三丁目","","48","9","-38456.6","-28300.4","35.652966","139.520788","1","0","0","0"
"東京都","調布市","飛田給三丁目","","20","9","-38103.5","-28292.6","35.656149","139.520862","1","0","0","0"
"東京都","調布市","飛田給三丁目","","21","9","-38064.6","-28273.1","35.656500","139.521075","1","1","0","0"
"東京都","調布市","飛田給三丁目","","47","9","-38426.7","-28273.7","35.653236","139.521082","1","1","0","0"
"東京都","調布市","上石原三丁目","","46","9","-38662.3","-28253.9","35.651113","139.521309","1","1","0","0"
"東京都","調布市","上石原三丁目","","47","9","-38701.0","-28259.5","35.650764","139.521248","1","1","0","0"
"東京都","調布市","飛田給一丁目","","5","9","-37295.3","-28256.1","35.663434","139.521236","1","1","0","0"
"東京都","調布市","上石原三丁目","","47","9","-38735.8","-28269.4","35.650450","139.521140","1","0","0","0"
"東京都","調布市","飛田給三丁目","","22","9","-38095.7","-28223.9","35.656221","139.521620","1","1","0","0"
"東京都","調布市","飛田給三丁目","","22","9","-38026.8","-28240.5","35.656841","139.521434","1","0","0","0"
"東京都","調布市","上石原三丁目","","45","9","-38640.5","-28185.8","35.651311","139.522060","1","1","0","0"
"東京都","調布市","飛田給二丁目","","14","9","-37706.1","-28184.4","35.659734","139.522043","1","1","0","0"
"東京都","調布市","飛田給三丁目","","28","9","-38158.5","-28166.9","35.655657","139.522252","1","1","0","0"
"東京都","調布市","野水二丁目","","1","9","-34702.7","-28138.0","35.686807","139.522450","1","1","0","0"
"東京都","調布市","野水一丁目","","9","9","-35730.2","-28073.5","35.677547","139.523198","0","1","0","0"
"東京都","調布市","飛田給一丁目","","21","9","-37559.5","-28143.8","35.661056","139.522486","0","1","0","0"
"東京都","調布市","西町","","290","9","-36973.1","-28122.9","35.666343","139.522697","0","1","0","0"
"東京都","調布市","野水二丁目","","2","9","-34763.5","-27997.9","35.686263","139.524001","1","1","0","0"
"東京都","調布市","飛田給三丁目","","23","9","-38073.9","-28091.9","35.656422","139.523078","1","1","0","0"
"東京都","調布市","上石原三丁目","","51","9","-38691.7","-28118.5","35.650852","139.522805","1","1","0","0"
"東京都","調布市","上石原三丁目","","38","9","-38637.6","-28115.1","35.651340","139.522840","1","1","0","0"
"東京都","調布市","上石原三丁目","","20","9","-38404.7","-28097.6","35.653440","139.523026","1","1","0","0"
"東京都","調布市","上石原三丁目","","38","9","-38574.7","-28108.8","35.651907","139.522908","1","0","0","0"
"東京都","調布市","西町","","290","9","-36908.8","-28032.9","35.666925","139.523689","0","0","0","0"
"東京都","調布市","上石原三丁目","","20","9","-38443.9","-28103.6","35.653086","139.522961","1","0","0","0"
"東京都","調布市","上石原三丁目","","37","9","-38636.3","-28087.9","35.651352","139.523141","1","1","0","0"
"東京都","調布市","飛田給一丁目","","3","9","-37319.9","-28073.6","35.663218","139.523253","1","1","0","0"
"東京都","調布市","上石原三丁目","","19","9","-38400.7","-28056.8","35.653477","139.523477","1","1","0","0"
"東京都","調布市","上石原三丁目","","36","9","-38618.7","-28060.4","35.651511","139.523444","1","1","0","0"
"東京都","調布市","野水一丁目","","3","9","-35168.7","-27960.7","35.682611","139.524425","1","1","0","0"
"東京都","調布市","飛田給一丁目","","33","9","-37348.0","-28020.3","35.662966","139.523842","1","1","0","0"
"東京都","調布市","飛田給一丁目","","34","9","-37299.7","-28003.5","35.663403","139.524027","1","1","0","0"
"東京都","調布市","上石原三丁目","","35","9","-38618.5","-28030.5","35.651514","139.523775","1","1","0","0"
"東京都","調布市","上石原三丁目","","18","9","-38431.0","-28003.7","35.653205","139.524064","1","1","0","0"
"東京都","調布市","上石原三丁目","","17","9","-38393.7","-27996.8","35.653541","139.524138","1","1","0","0"
