住所,状況,被害発生日,要因
飛田給１－５２,床下浸水,1972/07/12,昭和４７年７月豪雨
飛田給３－２４,床下浸水,1972/07/12,昭和４７年７月豪雨
上石原１－４２,床下浸水,1972/07/12,昭和４７年７月豪雨
上石原３－１０,床下浸水,1972/07/12,昭和４７年７月豪雨
多摩川５－１７,床下浸水,1972/07/12,昭和４７年７月豪雨
多摩川７－２２,床下浸水,1972/07/12,昭和４７年７月豪雨
飛田給１－３３,床下浸水,1972/07/15,昭和４７年台風６号
上石原３－５６,床下浸水,1972/07/15,昭和４７年台風６号
多摩川６－３５,床下浸水,1972/07/15,昭和４７年台風６号
若葉町３－５,床下浸水,1972/07/15,昭和４７年台風６号
深大寺東町６－２５,床下浸水,1972/07/15,昭和４７年台風６号
多摩川３－５４,床下浸水,1974/09/01,昭和４９年台風１６号
多摩川３－５５,床下浸水,1974/09/01,昭和４９年台風１６号
多摩川３－５６,床下浸水,1974/09/01,昭和４９年台風１６号
多摩川６－３５,床上浸水,1974/09/01,昭和４９年台風１６号
多摩川６－３５,床下浸水,1974/09/01,昭和４９年台風１６号
飛田給３－５,床下浸水,1976/09/09,昭和５１年台風１７号
上石原１－４２,床下浸水,1976/09/09,昭和５１年台風１７号
上石原３－３２,床上浸水,1976/09/09,昭和５１年台風１７号
上石原３－３２,床上浸水,1976/09/09,昭和５１年台風１７号
富士見町４－３３,床下浸水,1976/09/09,昭和５１年台風１７号
国領町１－６,床下浸水,1976/09/09,昭和５１年台風１７号
国領町１－７,床下浸水,1976/09/09,昭和５１年台風１７号
国領町８－１１,床下浸水,1976/09/09,昭和５１年台風１７号
染地２－３５,床上浸水,1976/09/09,昭和５１年台風１７号
染地２－４２,床下浸水,1976/09/09,昭和５１年台風１７号
染地２－４７,床上浸水,1976/09/09,昭和５１年台風１７号
染地３－８,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川２－２３,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川２－２９,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－１０,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川３－３１,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－３６,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－５０,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－５４,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－５６,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川３－５６,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川３－５７,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川３－６８,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川３－７９,床上浸水・現在鶴川街道,1976/09/09,昭和５１年台風１７号
多摩川４－３８,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川７－１５,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川７－６,床上浸水,1976/09/09,昭和５１年台風１７号
多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号
多摩川７－７,床下浸水,1976/09/09,昭和５１年台風１７号
佐須町１－１３,床下浸水,1976/09/09,昭和５１年台風１７号
佐須町１－２８,床下浸水,1976/09/09,昭和５１年台風１７号
佐須町２－８,床下浸水,1976/09/09,昭和５１年台風１７号
佐須町２－９,床下浸水,1976/09/09,昭和５１年台風１７号
佐須町５－２２,床下浸水,1976/09/09,昭和５１年台風１７号
菊野台１－２０,床下浸水,1976/09/09,昭和５１年台風１７号
菊野台１－２５,床下浸水,1976/09/09,昭和５１年台風１７号
菊野台１－２８,床下浸水,1976/09/09,昭和５１年台風１７号
菊野台１－３７,床上浸水,1976/09/09,昭和５１年台風１７号
菊野台１－３７,床上浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘１－１６,床下浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘１－５,床下浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘１－６,床上浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘３－３３,床下浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘３－５３,床上浸水,1976/09/09,昭和５１年台風１７号
東つつじケ丘３－５３,床上浸水,1976/09/09,昭和５１年台風１７号
西つつじケ丘１－１,床下浸水,1976/09/09,昭和５１年台風１７号
西つつじケ丘２－１８,床下浸水,1976/09/09,昭和５１年台風１７号
入間町１－２３,床下浸水,1976/09/09,昭和５１年台風１７号
